id,value
id_0,25.671993
id_1,64.035872
id_2,18.696922
id_3,28.640285
id_4,9.606053
id_5,31.066455
id_6,41.305492
id_7,16.746458
id_8,50.863579
id_9,32.653925
id_10,38.013433
id_11,58.938052
id_12,36.008482
id_13,38.922273
id_14,28.638046
id_15,12.504763
id_16,51.626634
id_17,23.081835
id_18,16.116864
id_19,17.669599
id_20,15.498453
id_21,29.534341
id_22,39.781183
id_23,10.078152
id_24,61.153109
id_25,46.290038
id_26,27.659623
id_27,7.675287
id_28,29.754762
id_29,35.681214
id_30,17.749708
id_31,11.782374
id_32,16.724308
id_33,8.145861
id_34,16.206265
id_35,43.322479
id_36,22.197691
id_37,27.658037
id_38,10.237120
id_39,57.480752
id_40,45.956487
id_41,20.151703
id_42,53.374689
id_43,18.534483
id_44,43.995897
id_45,50.128944
id_46,58.256168
id_47,41.167235
id_48,55.032207
id_49,39.200527
id_50,30.660733
id_51,23.287099
id_52,41.534863
id_53,24.960842
id_54,36.576902
id_55,38.362853
id_56,24.541209
id_57,21.503890
id_58,35.844518
id_59,32.826392
id_60,11.910784
id_61,23.185886
id_62,31.531369
id_63,52.342014
id_64,49.953614
id_65,26.205233
id_66,37.859482
id_67,52.000521
id_68,29.188162
id_69,39.135985
id_70,64.846048
id_71,55.421873
id_72,42.920810
id_73,14.422192
id_74,13.945025
id_75,35.683639
id_76,62.644664
id_77,2.294272
id_78,42.279492
id_79,41.710792
id_80,8.688793
id_81,21.475100
id_82,5.967066
id_83,31.718220
id_84,8.715936
id_85,4.435520
id_86,17.087235
id_87,11.651232
id_88,18.713057
id_89,22.336834
id_90,35.199923
id_91,12.674541
id_92,11.657531
id_93,10.186610
id_94,37.167993
id_95,14.892405
id_96,17.260293
id_97,9.123113
id_98,10.886877
id_99,4.348988
id_100,10.554881
id_101,18.615908
id_102,11.469835
id_103,9.023292
id_104,12.813743
id_105,36.521337
id_106,23.562447
id_107,8.242061
id_108,17.401034
id_109,15.894734
id_110,11.088726
id_111,15.198620
id_112,16.769094
id_113,24.904802
id_114,19.988300
id_115,15.715105
id_116,8.613565
id_117,43.907028
id_118,25.830723
id_119,0.871631
id_120,-0.235493
id_121,10.552475
id_122,12.399596
id_123,12.321365
id_124,7.101894
id_125,25.105239
id_126,23.139355
id_127,9.354780
id_128,19.913649
id_129,13.288794
id_130,-0.135909
id_131,32.385697
id_132,15.109398
id_133,22.333846
id_134,26.774170
id_135,25.001709
id_136,9.569330
id_137,22.695377
id_138,78.297585
id_139,61.944787
id_140,27.267643
id_141,19.336380
id_142,24.737444
id_143,7.085664
id_144,13.891822
id_145,10.245610
id_146,19.754410
id_147,7.793532
id_148,12.330875
id_149,16.298166
id_150,45.838743
id_151,19.695020
id_152,21.883547
id_153,14.422722
id_154,14.390739
id_155,23.503818
id_156,24.068333
id_157,37.318929
id_158,3.539796
id_159,22.476939
id_160,42.075058
id_161,19.197025
id_162,61.009116
id_163,16.684713
id_164,33.923850
id_165,24.732995
id_166,22.604883
id_167,0.632947
id_168,68.415306
id_169,16.395729
id_170,16.203616
id_171,70.032060
id_172,20.543056
id_173,2.401062
id_174,24.728262
id_175,-0.196834
id_176,8.901085
id_177,18.844258
id_178,22.416726
id_179,24.970105
id_180,42.723958
id_181,34.025169
id_182,30.497583
id_183,14.353374
id_184,7.540976
id_185,42.173161
id_186,35.792125
id_187,33.384826
id_188,15.487612
id_189,24.362633
id_190,14.231104
id_191,15.281630
id_192,30.124589
id_193,73.231874
id_194,31.435137
id_195,10.674282
id_196,62.354195
id_197,17.555260
id_198,20.050064
id_199,21.138087
id_200,123.172947
id_201,23.153960
id_202,58.765604
id_203,4.813779
id_204,59.123200
id_205,34.874562
id_206,14.686703
id_207,15.357401
id_208,61.396411
id_209,13.789874
id_210,38.045535
id_211,68.125697
id_212,19.077555
id_213,113.764672
id_214,40.551330
id_215,75.835046
id_216,91.106336
id_217,70.641002
id_218,29.916324
id_219,21.595332
id_220,30.340205
id_221,56.788152
id_222,26.296214
id_223,38.634600
id_224,43.234772
id_225,10.189060
id_226,5.861965
id_227,81.539096
id_228,29.484713
id_229,1.703069
id_230,39.917927
id_231,15.422898
id_232,21.959503
id_233,7.344955
id_234,15.575037
id_235,25.271285
id_236,14.088426
id_237,3.478619
id_238,22.888454
id_239,13.078940
