id,value
id_0,25.560835
id_1,64.108582
id_2,18.878072
id_3,28.958210
id_4,9.602303
id_5,32.199388
id_6,41.165725
id_7,17.160963
id_8,51.343449
id_9,32.649064
id_10,38.044414
id_11,59.023206
id_12,35.658932
id_13,40.334559
id_14,28.006237
id_15,12.654008
id_16,51.412031
id_17,23.373380
id_18,16.921975
id_19,18.267511
id_20,15.736834
id_21,29.986777
id_22,39.302976
id_23,10.454825
id_24,61.128062
id_25,46.432676
id_26,28.042140
id_27,7.477464
id_28,29.537915
id_29,35.896294
id_30,17.975138
id_31,11.688699
id_32,16.852988
id_33,7.927109
id_34,16.211355
id_35,42.778300
id_36,21.826740
id_37,27.528847
id_38,10.041954
id_39,57.741717
id_40,46.715466
id_41,19.895573
id_42,53.122273
id_43,18.451609
id_44,44.244756
id_45,49.904394
id_46,58.091885
id_47,41.101373
id_48,55.275899
id_49,39.578915
id_50,30.503128
id_51,23.676094
id_52,40.222498
id_53,24.491052
id_54,36.998004
id_55,38.546066
id_56,24.576222
id_57,21.643713
id_58,35.601314
id_59,32.536172
id_60,12.495806
id_61,22.664426
id_62,31.709579
id_63,53.265301
id_64,50.103794
id_65,26.125806
id_66,38.037758
id_67,52.260418
id_68,29.042628
id_69,39.388664
id_70,64.739958
id_71,55.313176
id_72,42.855376
id_73,14.287734
id_74,14.144880
id_75,35.743829
id_76,62.610406
id_77,2.265993
id_78,41.581736
id_79,41.889447
id_80,8.612709
id_81,22.051478
id_82,5.961436
id_83,31.322775
id_84,8.929330
id_85,4.822798
id_86,16.974379
id_87,11.582668
id_88,18.971331
id_89,23.474627
id_90,35.028628
id_91,12.403735
id_92,11.948083
id_93,9.656761
id_94,37.521071
id_95,15.154352
id_96,17.125753
id_97,9.105183
id_98,11.210478
id_99,4.264673
id_100,10.472374
id_101,18.528546
id_102,11.742627
id_103,8.859808
id_104,12.659101
id_105,36.745802
id_106,24.443938
id_107,7.916593
id_108,17.064503
id_109,15.443696
id_110,11.551550
id_111,15.710812
id_112,16.682395
id_113,25.496749
id_114,19.563455
id_115,15.976222
id_116,7.431778
id_117,44.970206
id_118,26.364441
id_119,0.666665
id_120,-0.522897
id_121,10.309392
id_122,12.590075
id_123,12.453595
id_124,7.393058
id_125,25.204988
id_126,22.428304
id_127,9.693391
id_128,20.307063
id_129,13.865754
id_130,-0.209079
id_131,32.607190
id_132,14.523515
id_133,21.791123
id_134,26.587544
id_135,24.649946
id_136,9.589127
id_137,22.022304
id_138,78.536771
id_139,61.342323
id_140,26.850187
id_141,19.215919
id_142,24.598150
id_143,7.202600
id_144,13.036988
id_145,10.249787
id_146,19.569858
id_147,7.693843
id_148,12.616532
id_149,15.979935
id_150,46.241258
id_151,20.836003
id_152,22.006056
id_153,14.670641
id_154,14.005823
id_155,23.746226
id_156,24.869657
id_157,37.045001
id_158,3.882626
id_159,22.829018
id_160,42.638547
id_161,19.290369
id_162,62.145701
id_163,16.909871
id_164,33.862328
id_165,24.419709
id_166,23.282241
id_167,0.429363
id_168,67.787668
id_169,16.172722
id_170,16.096544
id_171,70.161322
id_172,20.672362
id_173,2.035696
id_174,24.334369
id_175,-0.237950
id_176,8.468322
id_177,18.541087
id_178,21.959891
id_179,25.208234
id_180,43.078542
id_181,33.024125
id_182,29.562116
id_183,13.924552
id_184,7.466283
id_185,42.021823
id_186,36.117731
id_187,33.861367
id_188,16.107206
id_189,23.945798
id_190,14.219078
id_191,15.645544
id_192,30.495968
id_193,72.618250
id_194,30.459199
id_195,10.796902
id_196,62.651566
id_197,16.823909
id_198,20.152459
id_199,21.296975
id_200,123.803900
id_201,23.187979
id_202,58.568226
id_203,5.269259
id_204,59.747146
id_205,35.727836
id_206,14.983234
id_207,14.538126
id_208,61.937572
id_209,14.143611
id_210,37.361631
id_211,68.475696
id_212,18.981569
id_213,113.395510
id_214,40.720118
id_215,76.732030
id_216,91.886678
id_217,71.070085
id_218,29.679725
id_219,20.120979
id_220,30.517092
id_221,57.615548
id_222,26.722304
id_223,38.304819
id_224,43.197976
id_225,10.362800
id_226,5.272539
id_227,81.077707
id_228,30.146385
id_229,1.476521
id_230,40.260789
id_231,15.627895
id_232,21.755171
id_233,7.759384
id_234,15.090407
id_235,25.348942
id_236,13.765901
id_237,2.978388
id_238,22.185990
id_239,12.604220
